+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
|42    |2021-02-11|11               |Thursday |5               |6   |2        |February |2021-02-01   |1      |2021|42          |0           |Thu 11th Feb 2021|Thursday 11th February 2021  |1613026800|0        |NULL                       |
|43    |2021-02-12|12               |Friday   |6               |6   |2        |February |2021-02-01   |1      |2021|43          |0           |Fri 12th Feb 2021|Friday 12th February 2021    |1613113200|0        |NULL                       |
|44    |2021-02-13|13               |Saturday |7               |6   |2        |February |2021-02-01   |1      |2021|44          |0           |Sat 13th Feb 2021|Saturday 13th February 2021  |1613199600|0        |NULL                       |
|45    |2021-02-14|14               |Sunday   |1               |7   |2        |February |2021-02-01   |1      |2021|45          |0           |Sun 14th Feb 2021|Sunday 14th February 2021    |1613286000|0        |NULL                       |
|46    |2021-02-15|15               |Monday   |2               |7   |2        |February |2021-02-01   |1      |2021|46          |0           |Mon 15th Feb 2021|Monday 15th February 2021    |1613372400|0        |NULL                       |
|47    |2021-02-16|16               |Tuesday  |3               |7   |2        |February |2021-02-01   |1      |2021|47          |0           |Tue 16th Feb 2021|Tuesday 16th February 2021   |1613458800|1        |Mardi Gras                 |
|48    |2021-02-17|17               |Wednesday|4               |7   |2        |February |2021-02-01   |1      |2021|48          |0           |Wed 17th Feb 2021|Wednesday 17th February 2021 |1613545200|0        |NULL                       |
|49    |2021-02-18|18               |Thursday |5               |7   |2        |February |2021-02-01   |1      |2021|49          |0           |Thu 18th Feb 2021|Thursday 18th February 2021  |1613631600|0        |NULL                       |
|50    |2021-02-19|19               |Friday   |6               |7   |2        |February |2021-02-01   |1      |2021|50          |0           |Fri 19th Feb 2021|Friday 19th February 2021    |1613718000|0        |NULL                       |
|51    |2021-02-20|20               |Saturday |7               |7   |2        |February |2021-02-01   |1      |2021|51          |0           |Sat 20th Feb 2021|Saturday 20th February 2021  |1613804400|0        |NULL                       |
|52    |2021-02-21|21               |Sunday   |1               |8   |2        |February |2021-02-01   |1      |2021|52          |0           |Sun 21st Feb 2021|Sunday 21st February 2021    |1613890800|0        |NULL                       |
|53    |2021-02-22|22               |Monday   |2               |8   |2        |February |2021-02-01   |1      |2021|53          |0           |Mon 22nd Feb 2021|Monday 22nd February 2021    |1613977200|0        |NULL                       |
|54    |2021-02-23|23               |Tuesday  |3               |8   |2        |February |2021-02-01   |1      |2021|54          |0           |Tue 23rd Feb 2021|Tuesday 23rd February 2021   |1614063600|0        |NULL                       |
|55    |2021-02-24|24               |Wednesday|4               |8   |2        |February |2021-02-01   |1      |2021|55          |0           |Wed 24th Feb 2021|Wednesday 24th February 2021 |1614150000|0        |NULL                       |
|56    |2021-02-25|25               |Thursday |5               |8   |2        |February |2021-02-01   |1      |2021|56          |0           |Thu 25th Feb 2021|Thursday 25th February 2021  |1614236400|0        |NULL                       |
|57    |2021-02-26|26               |Friday   |6               |8   |2        |February |2021-02-01   |1      |2021|57          |0           |Fri 26th Feb 2021|Friday 26th February 2021    |1614322800|0        |NULL                       |
|58    |2021-02-27|27               |Saturday |7               |8   |2        |February |2021-02-01   |1      |2021|58          |0           |Sat 27th Feb 2021|Saturday 27th February 2021  |1614409200|0        |NULL                       |
|59    |2021-02-28|28               |Sunday   |1               |9   |2        |February |2021-02-01   |1      |2021|59          |0           |Sun 28th Feb 2021|Sunday 28th February 2021    |1614495600|0        |NULL                       |
|60    |2021-03-01|1                |Monday   |2               |9   |3        |March    |2021-03-01   |1      |2021|60          |0           |Mon 1st Mar 2021 |Monday 1st March 2021        |1614582000|0        |NULL                       |
|61    |2021-03-02|2                |Tuesday  |3               |9   |3        |March    |2021-03-01   |1      |2021|61          |0           |Tue 2nd Mar 2021 |Tuesday 2nd March 2021       |1614668400|0        |NULL                       |
